id,question,answers,orig_query,sparql
1,List all boardgames by GMT.,http://dbpedia.org/resource/Washington's_War,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?uri WHERE { ?uri dbo:publisher res:GMT_Games },SELECT ?uri WHERE { ?uri dbo:publisher dbr:GMT_Games }
2,Who developed Skype?,http://dbpedia.org/resource/Microsoft,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Skype dbo:developer ?uri. },SELECT DISTINCT ?uri WHERE { dbr:Skype dbo:developer ?uri. }
3,Which people were born in Heraklion?,http://dbpedia.org/resource/Kapsetaki_duo,PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX onto: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { ?uri rdf:type onto:Person ; onto:birthPlace <http://dbpedia.org/resource/Heraklion>. },SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Person ; dbo:birthPlace dbr:Heraklion. }
4,In which U.S. state is Area 51 located?,http://dbpedia.org/resource/Nevada,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Area_51 dbo:location ?uri . ?uri dbo:country res:United_States. },SELECT DISTINCT ?uri WHERE { dbr:Area_51 dbo:location ?uri . ?uri dbo:country dbr:United_States. }
5,Who is the mayor of New York City?,http://dbpedia.org/resource/Bill_de_Blasio,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:leaderName ?uri },SELECT DISTINCT ?uri WHERE { dbr:New_York_City dbo:leaderName ?uri }
6,Which countries have places with more than two caves?,http://dbpedia.org/resource/India,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?cave rdf:type dbo:Cave ; dbo:location ?uri . ?uri rdf:type dbo:Country } GROUP BY ?uri HAVING ( COUNT(?cave) > 2 ),SELECT DISTINCT ?uri WHERE { ?cave rdf:type dbo:Cave ; dbo:location ?uri . ?uri rdf:type dbo:Country } GROUP BY ?uri HAVING ( COUNT(?cave) > 2 )
7,Where did Abraham Lincoln die?,"http://dbpedia.org/resource/Washington,_D.C.",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:deathPlace ?uri. },SELECT DISTINCT ?uri WHERE { dbr:Abraham_Lincoln dbo:deathPlace ?uri. }
8,Which airports does Air China serve?,http://dbpedia.org/resource/Tianjin_Binhai_International_Airport,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Air_China dbo:targetAirport ?uri },SELECT DISTINCT ?uri WHERE { dbr:Air_China dbo:targetAirport ?uri }
9,Give me all actors starring in movies directed by and starring William Shatner.,http://dbpedia.org/resource/Tom_Towles,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner ; dbo:starring res:William_Shatner { ?x dbo:starring ?uri } UNION { ?x dbp:starring ?uri } },SELECT DISTINCT ?uri WHERE { ?x dbo:director dbr:William_Shatner ; dbo:starring dbr:William_Shatner { ?x dbo:starring ?uri } UNION { ?x dbp:starring ?uri } }
10,What are the official languages of the Philippines?,http://dbpedia.org/resource/Philippine_English,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Philippines dbo:officialLanguage ?uri },SELECT DISTINCT ?uri WHERE { dbr:Philippines dbo:officialLanguage ?uri }
